work_type_code,work_type_name_ru,family_code,basis_key,label_ru,hint_ru,uom_code,required,derived_flag,formula,sort_order,status,notes,field_kind,expression,read_only_flag,manual_flag,source_config_id,ui_source,default_value,used_in_norms
WT-CONCRETE-MONO,Бетонирование / монолит,concrete,volume_m3,"Объём бетона, м³ (авто)",Объём бетона в м³. Обычно: длина×ширина×высота или по участкам: 0.3×12×0.2 + 0.4×5×0.3.,м³,true,false,,2,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-CONC-FLOOR,Бетонирование пола,concrete,area_m2,"Площадь пола, м²",Площадь пола (м²). Можно формулой: 3*4 + 5*6.,м²,true,false,,1,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-CONC-FLOOR,Бетонирование пола,concrete,height_m,"Толщина слоя, м",Толщина слоя в метрах. Пример: 0.05 = 50 мм.,м,true,false,,2,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-CONC-FLOOR,Бетонирование пола,concrete,volume_m3,"Объём бетона, м³ (авто)",Авто: площадь × толщина. Можно поправить вручную.,м³,true,false,,3,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
ind_concrete,Бетонные работы,concrete,area_m2,"Площадь бетонирования, м²","Площадь поверхности, где выполняются бетонные работы (плита/пол/участок). Можно вводить числом или формулой.",м²,true,false,,1,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
ind_concrete,Бетонные работы,concrete,count,Количество,Просто счёт в штуках: сколько элементов/мест/узлов нужно. Можно вводить формулой: 3+5+2.,шт,true,false,,2,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
ind_concrete,Бетонные работы,concrete,film_m2,"Плёнка/укрытие, м²",Плёнка/укрытие/гео. Обычно равна площади.,м²,true,false,,3,OK,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
ind_concrete,Бетонные работы,concrete,formwork_m2,"Опалубка, м²",Площадь опалубки (м²).,м²,true,false,,4,OK,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
ind_concrete,Бетонные работы,concrete,mesh_m2,"Сетка, м²","Площадь армирующей сетки, если применяешь.",м²,true,false,,5,OK,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
ind_concrete,Бетонные работы,concrete,pump_m3,"Подача насосом, м³",Сколько м³ подаём насосом (часть или весь объём).,м³,true,false,,6,OK,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
ind_concrete,Бетонные работы,concrete,rebar_kg,"Арматура, кг",Масса арматуры по проекту (кг).,кг,true,false,,7,OK,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
ind_concrete,Бетонные работы,concrete,subbase_m3,"Подушка (песок+щебень), м³",Объём подушки песок+щебень. Обычно S×hподушки.,м³,true,false,,8,OK,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
ind_concrete,Бетонные работы,concrete,volume_m3,"Объём бетона, м³ (авто)",Объём бетона в м³. Обычно: длина×ширина×высота или по участкам: 0.3×12×0.2 + 0.4×5×0.3.,м³,true,false,,9,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-CONC,Бетонные работы,concrete,area_m2,"Площадь бетонирования, м²","Площадь поверхности, где выполняются бетонные работы (плита/пол/участок). Можно вводить числом или формулой.",м²,true,false,,1,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-CONC,Бетонные работы,concrete,backfill_m3,"Обратная засыпка, м³",Обратная засыпка + уплотнение в м³.,м³,true,false,,2,OK,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-CONC,Бетонные работы,concrete,count,Количество,Просто счёт в штуках: сколько элементов/мест/узлов нужно. Можно вводить формулой: 3+5+2.,шт,true,false,,3,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-CONC,Бетонные работы,concrete,excavation_m3,"Разработка грунта, м³",Разработка грунта (котлован/траншеи) в м³.,м³,true,false,,4,OK,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-CONC,Бетонные работы,concrete,formwork_m2,"Опалубка, м²",Площадь опалубки (м²).,м²,true,false,,5,OK,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-CONC,Бетонные работы,concrete,pump_m3,"Подача насосом, м³",Сколько м³ подаём насосом (часть или весь объём).,м³,true,false,,6,OK,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-CONC,Бетонные работы,concrete,rebar_kg,"Арматура, кг",Масса арматуры по проекту (кг).,кг,true,false,,7,OK,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-CONC,Бетонные работы,concrete,subconcrete_m3,"Подбетонка, м³","Подбетонка (подготовка) в м³, если есть.",м³,true,false,,8,OK,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-CONC,Бетонные работы,concrete,volume_m3,"Объём бетона, м³ (авто)",Объём бетона в м³. Обычно: длина×ширина×высота или по участкам: 0.3×12×0.2 + 0.4×5×0.3.,м³,true,false,,9,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-CONC,Бетонные работы,concrete,waterproof_m2,"Гидроизоляция, м²",Площадь гидроизоляции (м²).,м²,true,false,,10,OK,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-HYDRO-FOUND-PRO,Гидроизоляция фундамента (PRO),concrete,area_m2,"Площадь бетонирования, м²","Площадь поверхности, где выполняются бетонные работы (плита/пол/участок). Можно вводить числом или формулой.",м²,true,false,,1,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-EARTHWORK-PRO,Земляные работы под фундамент (PRO),concrete,volume_m3,"Объём грунта под фундамент (траншеи/котлован), м³","Сколько всего грунта нужно вынуть под фундамент, в м³.
Если объём не знаете:
Пример: дом 10×10 м, траншея шириной 0.6 м, глубина 1.0 м.
Периметр 10×4 = 40 м.
Объём грунта = 40 × 0.6 × 1.0 = 24 м³ → вводим 24.",м³,true,false,,1,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-CONCRETE-STRIP,Ленточный фундамент,concrete,perimeter_m,"Длина ленты/контур, м",Суммарная длина ленты фундамента по контуру (м). Можно формулой по участкам.,м,true,false,,1,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-CONCRETE-STRIP,Ленточный фундамент,concrete,length_m,"Ширина ленты, м",Ширина ленты (м). Например: 0.4 = 400 мм.,м,true,false,,2,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-CONCRETE-STRIP,Ленточный фундамент,concrete,height_m,"Высота ленты, м",Высота/глубина ленты (м). Например: 0.8 = 800 мм.,м,true,false,,3,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-CONCRETE-STRIP,Ленточный фундамент,concrete,volume_m3,"Объём бетона, м³ (авто)",Авто: контур × ширина × высота. Можно поправить вручную.,м³,true,false,,4,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-CONCRETE-STRIP,Ленточный фундамент,concrete,count,Количество,Просто счёт в штуках: сколько элементов/мест/узлов нужно. Можно вводить формулой: 3+5+2.,шт,true,false,,5,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-CONCRETE-BEAM,Монолитная балка,concrete,area_m2,"Площадь бетонирования, м²","Площадь поверхности, где выполняются бетонные работы (плита/пол/участок). Можно вводить числом или формулой.",м²,true,false,,1,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-CONCRETE-BEAM,Монолитная балка,concrete,count,Количество,Просто счёт в штуках: сколько элементов/мест/узлов нужно. Можно вводить формулой: 3+5+2.,шт,true,false,,2,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-CONCRETE-BEAM,Монолитная балка,concrete,volume_m3,"Объём бетона, м³ (авто)",Объём бетона в м³. Обычно: длина×ширина×высота или по участкам: 0.3×12×0.2 + 0.4×5×0.3.,м³,true,false,,3,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-CONCRETE-COLUMN,Монолитная колонна,concrete,count,Количество,Просто счёт в штуках: сколько элементов/мест/узлов нужно. Можно вводить формулой: 3+5+2.,шт,true,false,,1,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-CONCRETE-COLUMN,Монолитная колонна,concrete,volume_m3,"Объём бетона, м³ (авто)",Объём бетона в м³. Обычно: длина×ширина×высота или по участкам: 0.3×12×0.2 + 0.4×5×0.3.,м³,true,false,,2,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-CONCRETE-SLAB,Монолитная плита,concrete,area_m2,"Площадь бетонирования, м²","Площадь поверхности, где выполняются бетонные работы (плита/пол/участок). Можно вводить числом или формулой.",м²,true,false,,1,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-CONCRETE-SLAB,Монолитная плита,concrete,height_m,"Толщина плиты, м",Толщина плиты в метрах. Пример: 0.12 = 120 мм.,м,true,false,,2,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-CONCRETE-SLAB,Монолитная плита,concrete,volume_m3,"Объём бетона, м³ (авто)",Авто: площадь × толщина. Можно поправить вручную.,м³,true,false,,3,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-CONCRETE-SLAB,Монолитная плита,concrete,perimeter_m,"Периметр плиты/контур, м",Периметр по контуру плиты (м). Можно формулой: 10+10+6+6.,м,true,false,,4,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-CONCRETE-SLAB,Монолитная плита,concrete,count,Количество,Просто счёт в штуках: сколько элементов/мест/узлов нужно. Можно вводить формулой: 3+5+2.,шт,true,false,,5,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-CONCRETE-FOOTING,Монолитная тумба/башмак,concrete,count,Количество,Просто счёт в штуках: сколько элементов/мест/узлов нужно. Можно вводить формулой: 3+5+2.,шт,true,false,,1,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-CONCRETE-FOOTING,Монолитная тумба/башмак,concrete,volume_m3,"Объём бетона, м³ (авто)",Объём бетона в м³. Обычно: длина×ширина×высота или по участкам: 0.3×12×0.2 + 0.4×5×0.3.,м³,true,false,,2,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-SUBBASE-PRO,Подготовка основания под фундамент (PRO),concrete,area_m2,"Площадь бетонирования, м²","Площадь поверхности, где выполняются бетонные работы (плита/пол/участок). Можно вводить числом или формулой.",м²,true,false,,1,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-FACADE-WET,Фасад “мокрый” (СФТК),facade,area_m2,"Площадь фасада, м²",Площадь облицовки/утепления фасада в м². Можно вводить формулой: 12*3 + 8*3.,м²,true,false,,1,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-FACADE-WET,Фасад “мокрый” (СФТК),facade,perimeter_m,"Периметр фасада, м","Периметр по контуру фасада (м): углы, примыкания, откосы/цоколь — как заложено в нормах. Можно формулой: 10+10+6+6.",м,true,false,,2,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-FACADE-WET,Фасад “мокрый” (СФТК),facade,height_m,"Высота фасада, м",Высота фасада (м). Можно авто-посчитать площадь: длина × высота или периметр × высота.,м,false,false,,1001,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-FACADE-WET,Фасад “мокрый” (СФТК),facade,length_m,"Длина фасада, м",Длина фасада по фронту (м). Можно авто-посчитать площадь: длина × высота.,м,false,false,,1002,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-FACADE-WET,Фасад “мокрый” (СФТК),facade,area_wall_m2,"Площадь проёмов, м²","Суммарная площадь окон/дверей (Ш×В) по всем проёмам. Нужна, если хочешь считать фасад “без проёмов”.",м²,false,false,,1003,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-FACADE-WET,Фасад “мокрый” (СФТК),facade,pipe_length_m,"Периметр проёмов, м",Суммарный периметр всех проёмов (для откосов/примыканий): 2×(Ш+В) по каждому и сложить.,м,false,false,,1004,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-FACADE-FC-H,Фасад FC на заклёпке (общ.),facade,area_m2,"Площадь фасада, м²",Площадь облицовки/утепления фасада в м². Можно вводить формулой: 12*3 + 8*3.,м²,true,false,,1,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-FACADE-FC-H,Фасад FC на заклёпке (общ.),facade,perimeter_m,"Периметр фасада, м","Периметр по контуру фасада (м): углы, примыкания, откосы/цоколь — как заложено в нормах. Можно формулой: 10+10+6+6.",м,true,false,,2,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-FACADE-FC-H,Фасад FC на заклёпке (общ.),facade,height_m,"Высота фасада, м",Высота фасада (м). Можно авто-посчитать площадь: длина × высота или периметр × высота.,м,false,false,,1001,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-FACADE-FC-H,Фасад FC на заклёпке (общ.),facade,length_m,"Длина фасада, м",Длина фасада по фронту (м). Можно авто-посчитать площадь: длина × высота.,м,false,false,,1002,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-FACADE-FC-H,Фасад FC на заклёпке (общ.),facade,area_wall_m2,"Площадь проёмов, м²","Суммарная площадь окон/дверей (Ш×В) по всем проёмам. Нужна, если хочешь считать фасад “без проёмов”.",м²,false,false,,1003,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-FACADE-FC-H,Фасад FC на заклёпке (общ.),facade,pipe_length_m,"Периметр проёмов, м",Суммарный периметр всех проёмов (для откосов/примыканий): 2×(Ш+В) по каждому и сложить.,м,false,false,,1004,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-FACADE-FC-RIVET,Фасад FC на заклёпке (серия),facade,area_m2,"Площадь фасада, м²",Площадь облицовки/утепления фасада в м². Можно вводить формулой: 12*3 + 8*3.,м²,true,false,,1,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-FACADE-FC-RIVET,Фасад FC на заклёпке (серия),facade,perimeter_m,"Периметр фасада, м","Периметр по контуру фасада (м): углы, примыкания, откосы/цоколь — как заложено в нормах. Можно формулой: 10+10+6+6.",м,true,false,,2,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-FACADE-FC-RIVET,Фасад FC на заклёпке (серия),facade,height_m,"Высота фасада, м",Высота фасада (м). Можно авто-посчитать площадь: длина × высота или периметр × высота.,м,false,false,,1001,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-FACADE-FC-RIVET,Фасад FC на заклёпке (серия),facade,length_m,"Длина фасада, м",Длина фасада по фронту (м). Можно авто-посчитать площадь: длина × высота.,м,false,false,,1002,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-FACADE-FC-RIVET,Фасад FC на заклёпке (серия),facade,area_wall_m2,"Площадь проёмов, м²","Суммарная площадь окон/дверей (Ш×В) по всем проёмам. Нужна, если хочешь считать фасад “без проёмов”.",м²,false,false,,1003,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-FACADE-FC-RIVET,Фасад FC на заклёпке (серия),facade,pipe_length_m,"Периметр проёмов, м",Суммарный периметр всех проёмов (для откосов/примыканий): 2×(Ш+В) по каждому и сложить.,м,false,false,,1004,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-FACADE-FC-RIVET-10,"Фасад FC на заклёпке ⌀4,8×10",facade,area_m2,"Площадь фасада, м²",Площадь облицовки/утепления фасада в м². Можно вводить формулой: 12*3 + 8*3.,м²,true,false,,1,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
